Table_Name,Column_Name
ScreeningGeneralInfo,EnableCreditOpt
ScreeningGeneralInfo,coAddDeposit
ScreeningGeneralInfo,coAddRent
ScreeningGeneralInfo,coRentTrancID
ScreeningGeneralInfo,TestOccupancyRate
ScreeningGeneralInfo,SiiUserName
ScreeningGeneralInfo,SiiUserPassword
ScreeningGeneralInfo,SiiServerName
ScreeningGeneralInfo,SiiDatabase
ScreeningGeneralInfo,SiiPlatform
ScreeningGeneralInfo,siiBridgeRenewal
ScreeningGeneralInfo,sgiRestrictCriminal
ScreeningGeneralInfo,EnableCreditOptCustom
ScreeningGeneralInfo,coOccupancy
ScreeningGeneralInfo,coFailThreshold
ScreeningGeneralInfo,coUnitPercent
ScreeningGeneralInfo,SadID
ScreeningGeneralInfo,SiteSadID
ScreeningGeneralInfo,SiteAddressAdded
ScreeningGeneralInfo,sisClassificationVersion
ScreeningGeneralInfo,SadFlags
ScreeningGeneralInfo,ClassificationRuleset
ScreeningGeneralInfo,UseYardiLeaseInfo
ScreeningGeneralInfo,ConditionsVersion
ScreeningGeneralInfo,coAddDepositTrancID
ScreeningGeneralInfo,conditionAddDeposit
ScreeningGeneralInfo,conditionAddDepositTrancID
ScreeningGeneralInfo,useNCAOCSearch
ScreeningGeneralInfo,LastUpdateUser
ScreeningGeneralInfo,sgiEnableAALService
ScreeningGeneralInfo,YardiForceMode
ScreeningGeneralInfo,UseMaximumRiskThreshold
ScreeningGeneralInfo,MaximumRiskThreshold
ScreeningGeneralInfo,UseAvailabilityToLease
ScreeningGeneralInfo,UseOneBedroomOneBathroomCountThreshold
ScreeningGeneralInfo,OneBedroomOneBathroomCountThreshold
ScreeningGeneralInfo,UseOneBedroomOnePointFiveBathroomCountThreshold
ScreeningGeneralInfo,OneBedroomOnePointFiveBathroomCountThreshold
ScreeningGeneralInfo,UseTwoBedroomOneBathroomCountThreshold
ScreeningGeneralInfo,TwoBedroomOneBathroomCountThreshold
ScreeningGeneralInfo,UseTwoBedroomOnePointFiveBathroomCountThreshold
ScreeningGeneralInfo,TwoBedroomOnePointFiveBathroomCountThreshold
ScreeningGeneralInfo,UseTwoBedroomTwoBathroomCountThreshold
ScreeningGeneralInfo,TwoBedroomTwoBathroomCountThreshold
ScreeningGeneralInfo,UseTwoBedroomTwoPointFiveBathroomCountThreshold
ScreeningGeneralInfo,TwoBedroomTwoPointFiveBathroomCountThreshold
ScreeningGeneralInfo,UseThreeBedroomTwoBathroomCountThreshold
ScreeningGeneralInfo,ThreeBedroomTwoBathroomCountThreshold
ScreeningGeneralInfo,UseThreeBedroomTwoPointFiveBathroomCountThreshold
ScreeningGeneralInfo,ThreeBedroomTwoPointFiveBathroomCountThreshold
ScreeningGeneralInfo,UseStandaloneCreditOptimizerAdditionalDeposit
ScreeningGeneralInfo,UseStandaloneCreditOptimizerAdditionalRent
ScreeningGeneralInfo,UseMaximumRiskThresholdPercentage
ScreeningGeneralInfo,UseMaximumRiskThresholdHardFloor
ScreeningGeneralInfo,MaximumRiskThresholdHardFloor
ScreeningGeneralInfo,ConditionAddResDeposit
ScreeningGeneralInfo,ConditionAddResDepositTrancID
ScreeningGeneralInfo,sgiUseIdVerification
ScreeningGeneralInfo,sgiUseDocValidation
ScreeningGeneralInfo,sgiUseStatisticalScore
ScreeningGeneralInfo,OSSiteID
ScreeningGeneralInfo,sgiUseAffordableScreening
ScreeningGeneralInfo,sgiUseConsumerDocAuthentication
ScreeningGeneralInfo,sgiUseCAWAA
ScreeningApplicantGroup,apgID
ScreeningApplicantGroup,apgCount
ScreeningApplicantGroup,leadID
ScreeningApplicantGroup,codeDispositionCode
ScreeningApplicantGroup,atcID
ScreeningApplicantGroup,smodID
ScreeningApplicantGroup,apgMonthlyIncome
ScreeningApplicantGroup,apgOtherIncome
ScreeningApplicantGroup,apgRentObligation
ScreeningApplicantGroup,apgFinalBit
ScreeningApplicantGroup,apgDispositionModifyUser
ScreeningApplicantGroup,apgDispositionModifyDate
ScreeningApplicantGroup,apgConditionsAll
ScreeningApplicantGroup,codeDispositionCodeOverride
ScreeningApplicantGroup,apgDispositionModifyUserOverride
ScreeningApplicantGroup,apgDispositionModifyDateOverride
