Table_Name,Column_Name
ScreeningApplicantExtraXML,xmlTypeCode
ScreeningApplicantExtraXML,extraID
ScreeningApplicantExtraXML,xmlNode
ScreeningApplicantExtraXML,xmlCreateDate
ScreeningApplicantExtraXML,RECORDSTAMP
ScreeningApplicantExtraXML,OSSiteID
ScreeningSubmitLog,sslLogID
ScreeningSubmitLog,sslEntID
ScreeningSubmitLog,sslSiteID
ScreeningSubmitLog,sslUserID
ScreeningSubmitLog,sslTransactionID
ScreeningSubmitLog,sslApgID
ScreeningSubmitLog,sslService
ScreeningSubmitLog,sslTimeOut
ScreeningSubmitLog,sslStart
ScreeningSubmitLog,sslFinish
ScreeningSubmitLog,sslStatus
ScreeningSubmitLog,sslInsertDate
ScreeningSubmitLog,sslReason
ScreeningSubmitLog,RECORDSTAMP
ScreeningSubmitLog,OSSiteID
ScreeningServices,ID
ScreeningServices,ShortName
ScreeningServices,Name
ScreeningServices,CreatedDate
ScreeningServices,CreatedUserName
ScreeningServices,OSSiteID
ScreeningApplicantOverrideInfo,ID
ScreeningApplicantOverrideInfo,AppID
ScreeningApplicantOverrideInfo,AppGID
ScreeningApplicantOverrideInfo,ServiceId
ScreeningApplicantOverrideInfo,IsOverridden
ScreeningApplicantOverrideInfo,Reason
ScreeningApplicantOverrideInfo,CreatedDate
ScreeningApplicantOverrideInfo,CreatedUserName
ScreeningApplicantOverrideInfo,OSSiteID
ScreeningApplicantOverrideInfo,ScreeningServiceInfoID
ScreeningServiceInfo,ID
ScreeningServiceInfo,AppID
ScreeningServiceInfo,AppGID
ScreeningServiceInfo,ResmID
ScreeningServiceInfo,CustomerID
ScreeningServiceInfo,LeaseID
ScreeningServiceInfo,ConsumerID
ScreeningServiceInfo,TransactionID
ScreeningServiceInfo,ServiceName
ScreeningServiceInfo,ServiceStatus
ScreeningServiceInfo,ServiceResults
ScreeningServiceInfo,CreatedDate
ScreeningServiceInfo,CreatedUserName
ScreeningServiceInfo,ModifiedDate
ScreeningServiceInfo,ModifiedUserName
ScreeningServiceInfo,RecordStamp
ScreeningServiceInfo,OSSiteID
ScreeningServiceInfo,PreviousServiceResults
ScreeningServiceInfo,RetryCount
screeningapplicant,appID
screeningapplicant,appSequence
screeningapplicant,codeAppStatusCode
screeningapplicant,appFirstName
screeningapplicant,appMiddleName
screeningapplicant,appLastName
screeningapplicant,codeGenerationCode
screeningapplicant,codeIDTypeCode
screeningapplicant,appIDState
screeningapplicant,appIDNumber
screeningapplicant,appSSN
screeningapplicant,appBirthDate
screeningapplicant,appEmailAddress
screeningapplicant,appStreetNumber
screeningapplicant,appDirectionName
screeningapplicant,appStreetName
screeningapplicant,appStreetType
screeningapplicant,appApartmentNumber
screeningapplicant,appCityName
screeningapplicant,appState
screeningapplicant,appZip
screeningapplicant,appPhone
screeningapplicant,appWorkPhone
screeningapplicant,appTransmitUserID
screeningapplicant,appTransmitDate
screeningapplicant,appFelonyBit
screeningapplicant,appEvictionBit
screeningapplicant,TransactionID
screeningapplicant,ConvertedBit
screeningapplicant,CreateUserID
screeningapplicant,LastUserID
screeningapplicant,CreateDate
screeningapplicant,ModifyDate
screeningapplicant,apphideDOB
screeningapplicant,apphideQuestions
screeningapplicant,appMonthlyIncome
screeningapplicant,appOtherIncome
screeningapplicant,appAssets
screeningapplicant,Cosigner
screeningapplicant,Employed
screeningapplicant,EmploymentType
screeningapplicant,BeenBonded
screeningapplicant,BondDeniedOrLoss
screeningapplicant,RECORDSTAMP
screeningapplicant,SSNHash
screeningapplicant,IDNumberHash
screeningapplicant,SSNSuffix
screeningapplicant,appCountry
screeningapplicant,appAddress1
screeningapplicant,appAddress2
screeningapplicant,codeGenderCode
screeningapplicant,appRecommendationDate
screeningapplicant,appDUNS
screeningapplicant,appBusiness
screeningapplicant,appAtcID
screeningapplicant,appSmodID
screeningapplicant,appExternalID
screeningapplicant,CreditOptimizerTier
screeningapplicant,CreditDOB
screeningapplicant,CosignerID
screeningapplicant,SadID
screeningapplicant,IsTestCase
screeningapplicant,BureauSwap
screeningapplicant,IsBillableApp
screeningapplicant,cbMiddleName
screeningapplicant,appStateID
screeningapplicant,AppbID
screeningapplicant,NotUseReprocessFlag
screeningapplicant,NoPrevAddr
screeningapplicant,IsNSORUsed
screeningapplicant,BureauSwapAttempts
screeningapplicant,BureauSwapFileFreeze
screeningapplicant,IncomeCondition
screeningapplicant,IncomeAlertsUsed
screeningapplicant,AppNoSSN
screeningapplicant,appHCountry
screeningapplicant,appMCountry
screeningapplicant,appCellPhone
screeningapplicant,OSSiteID
screeningapplicant,IsMultiStep
screeningapplicant,CriminalRun
screeningapplicant,RRDCopyRequired
screeningapplicant,IsCAWAAAgreed
screeningapplicant,IsCAWAAOverridden
screeningapplicant,CAWAAOverrideReason
screeningapplicant,CAWAAOverrideReasonIndex
screeningapplicant,VerifiedIncome
screeningapplicant,OverriddenDate
screeningapplicant,appVerifiedMonthlyIncome
screeningapplicant,IsVerifiedIncomeUsedForScoring
screeningapplicant,IsVerifiedIncomeOverridden
screeningapplicant,IncomeOverrideReason
